id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_days_active,time_since_first_review,time_since_last_review
41055,2010-07-22,within a day,100%,0,4,4,1,Castro/Upper Market,House,Entire home/apt,3,1,1.0,1.0,$159.00 ,4,29,1,8,8,8,47,2010-09-05,93.0,10.0,9.0,10.0,10.0,10.0,10.0,STR-0002967,0,2,2,0,0,3237.0,4+ years,0-2 weeks
41172,2009-11-11,within a few hours,100%,1,1,1,1,Bernal Heights,House,Private room,2,2,1.0,1.0,$125.00 ,3,30,9,31,51,315,234,2010-09-01,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000122,0,1,0,1,0,3490.0,4+ years,0-2 weeks
41609,2009-11-14,,unknown,0,1,1,1,Nob Hill,Apartment,Entire home/apt,3,1,1.0,1.0,$170.00 ,30,730,14,38,38,175,13,2010-12-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0,,1,1,1,0,0,3487.0,4+ years,6-12 months
42403,2010-05-18,within a few hours,100%,0,35,35,1,Bernal Heights,Apartment,Entire home/apt,2,1,0.0,2.0,$85.00 ,30,1125,30,60,90,365,6,2011-10-22,93.0,10.0,10.0,10.0,10.0,10.0,10.0,,0,21,21,0,0,3302.0,4+ years,6-12 months
42408,2010-05-18,within a few hours,100%,0,35,35,1,Bernal Heights,House,Entire home/apt,2,1,1.0,2.0,$85.00 ,30,365,0,0,0,152,4,2011-09-26,87.0,9.0,8.0,10.0,10.0,8.0,7.0,,0,21,21,0,0,3302.0,4+ years,6-12 months
42577,2010-05-18,within a few hours,100%,0,35,35,1,Potrero Hill,House,Entire home/apt,3,1,2.0,2.0,$150.00 ,30,1125,0,0,0,152,2,2014-02-28,80.0,5.0,8.0,10.0,8.0,7.0,8.0,,0,21,21,0,0,3302.0,4+ years,6-12 months
43778,2010-05-18,within a few hours,100%,0,35,35,1,Haight Ashbury,House,Entire home/apt,3,1,2.0,2.0,$120.00 ,30,1125,0,0,8,283,8,2010-09-21,56.0,8.0,7.0,8.0,7.0,7.0,7.0,,0,21,21,0,0,3302.0,4+ years,2-6 months
45299,2010-07-22,within a day,100%,0,4,4,1,Castro/Upper Market,House,Entire home/apt,2,1,0.0,2.0,$116.00 ,3,30,0,0,2,2,128,2010-08-17,94.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0002967,0,2,2,0,0,3237.0,4+ years,0-2 weeks
45956,2010-08-15,within an hour,100%,1,3,3,0,Western Addition,House,Private room,2,3,1.0,1.0,$125.00 ,1,180,0,4,6,56,112,2012-10-14,96.0,10.0,10.0,10.0,10.0,10.0,10.0,CIty Registration Pending,1,3,0,3,0,3213.0,4+ years,0-2 weeks
47486,2010-08-27,within a day,100%,1,1,1,1,Ocean View,House,Entire home/apt,2,1,1.0,1.0,$78.00 ,30,365,0,0,0,265,29,2010-10-09,97.0,10.0,10.0,10.0,10.0,9.0,10.0,"Not required  This is not a short term rental, 30 days or longer only",0,1,1,0,0,3201.0,4+ years,2-8 weeks
48471,2010-07-18,,unknown,0,2,2,1,Mission,House,Private room,1,1,1.0,1.0,$76.00 ,46,105,0,0,0,0,29,2010-09-20,94.0,10.0,10.0,10.0,10.0,9.0,9.0,,0,2,0,2,0,3241.0,4+ years,1+ year
51073,2010-09-14,,unknown,0,2,2,1,South of Market,Apartment,Private room,2,1,1.0,1.0,$160.00 ,2,13,0,0,0,0,151,2010-10-15,99.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000525,0,2,1,1,0,3183.0,4+ years,2-8 weeks
51557,2010-09-16,within an hour,100%,1,1,1,1,Western Addition,Apartment,Entire home/apt,2,1,1.0,1.0,$119.00 ,30,180,0,0,28,212,106,2010-09-24,98.0,10.0,10.0,10.0,10.0,10.0,10.0,,1,1,1,0,0,3181.0,4+ years,2-8 weeks
52713,2010-09-24,within a few hours,100%,0,1,1,1,Nob Hill,Apartment,Private room,1,,1.0,1.0,$99.00 ,30,120,0,0,7,97,166,2010-10-03,89.0,9.0,9.0,9.0,9.0,9.0,9.0,STR-0000405,0,1,0,1,0,3173.0,4+ years,2-6 months
53280,2010-05-16,within an hour,100%,1,3,3,1,Bernal Heights,House,Private room,2,1,1.0,1.0,$90.00 ,3,30,0,0,0,242,133,2010-10-13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000280,0,2,1,1,0,3304.0,4+ years,0-2 weeks
54518,2010-10-07,,unknown,0,1,1,1,Financial District,Apartment,Entire home/apt,2,1,1.0,1.0,$210.00 ,30,365,0,0,13,226,17,2011-07-08,89.0,10.0,9.0,9.0,10.0,10.0,10.0,,1,1,1,0,0,3160.0,4+ years,2-6 months
55632,2010-10-15,within a few hours,100%,1,4,4,1,Outer Richmond,Apartment,Entire home/apt,4,1,1.0,2.0,$116.00 ,30,365,0,0,19,294,10,2011-01-18,94.0,10.0,10.0,10.0,10.0,9.0,10.0,,0,3,3,0,0,3152.0,4+ years,6-12 months
55636,2010-10-15,within a few hours,100%,1,4,4,1,Twin Peaks,Apartment,Entire home/apt,4,1,1.0,2.0,$116.00 ,30,365,0,7,37,312,27,2010-11-11,95.0,10.0,10.0,10.0,10.0,9.0,9.0,,0,3,3,0,0,3152.0,4+ years,0-2 weeks
57561,2010-10-27,within a day,100%,0,1,1,1,Bernal Heights,Apartment,Entire home/apt,2,1,1.0,1.0,$175.00 ,30,90,0,4,34,309,213,2010-11-11,92.0,10.0,9.0,10.0,9.0,9.0,9.0,City registration pending,0,1,1,0,0,3140.0,4+ years,2-8 weeks
57676,2010-06-12,within an hour,90-99%,0,4,4,1,Mission,Apartment,Private room,1,1,1.0,1.0,$99.00 ,2,360,12,40,40,40,113,2011-04-28,94.0,9.0,9.0,10.0,9.0,10.0,9.0,STR-0000875,1,4,1,3,0,3277.0,4+ years,0-2 weeks
58185,2010-11-04,within a few hours,100%,0,1,1,0,Inner Sunset,House,Entire home/apt,4,2,2.0,2.0,$350.00 ,2,7,10,25,37,89,1,2019-05-19,80.0,10.0,8.0,10.0,8.0,10.0,8.0,1094405,0,1,1,0,0,3132.0,0-6 months,0-2 weeks
59381,2010-11-12,within a few hours,100%,0,4,4,0,Russian Hill,Apartment,Private room,4,2,1.0,1.0,$109.00 ,2,30,10,21,40,40,225,2011-05-14,96.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000265,1,4,1,3,0,3124.0,4+ years,0-2 weeks
59702,2010-11-14,within an hour,100%,1,1,1,1,Bernal Heights,Other,Private room,2,1,1.0,1.0,$150.00 ,2,120,14,37,67,342,187,2011-06-20,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000109,1,1,0,1,0,3122.0,4+ years,0-2 weeks
62519,2010-11-29,within an hour,100%,1,2,2,1,Glen Park,Apartment,Private room,1,1,1.0,1.0,$85.00 ,3,28,7,7,7,7,36,2015-02-11,97.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000261,0,2,0,2,0,3107.0,4+ years,2-8 weeks
63405,2010-06-12,within an hour,90-99%,0,4,4,1,Mission,House,Entire home/apt,2,1,1.0,1.0,$125.00 ,2,180,17,35,55,208,216,2011-04-04,93.0,9.0,9.0,10.0,10.0,10.0,9.0,STR-0000875,1,4,1,3,0,3277.0,4+ years,0-2 weeks
64165,2010-09-17,within an hour,100%,1,1,1,1,Marina,Apartment,Private room,2,2,1.0,1.0,$90.00 ,30,150,5,5,23,298,66,2011-07-31,99.0,10.0,10.0,10.0,10.0,10.0,9.0,,0,1,0,1,0,3180.0,4+ years,0-2 weeks
66119,2009-11-10,within a few hours,100%,0,1,1,0,Inner Richmond,Apartment,Entire home/apt,2,1,0.0,1.0,$95.00 ,30,360,0,0,0,0,97,2011-07-26,83.0,9.0,9.0,10.0,9.0,9.0,8.0,City registration pending,0,1,1,0,0,3491.0,4+ years,2-6 months
66188,2010-05-18,within a few hours,100%,0,35,35,1,Outer Richmond,Apartment,Entire home/apt,6,2,3.0,4.0,$216.00 ,30,1125,0,0,0,267,12,2011-05-29,96.0,9.0,10.0,10.0,10.0,9.0,9.0,,0,21,21,0,0,3302.0,4+ years,6-12 months
68239,2011-01-06,within an hour,100%,1,6,6,0,Mission,Apartment,Entire home/apt,2,1,1.0,1.0,$326.00 ,31,7300,0,25,55,330,35,2011-04-23,99.0,10.0,10.0,10.0,10.0,10.0,9.0,,1,1,1,0,0,3069.0,4+ years,6-12 months
69410,2011-01-14,within an hour,100%,1,1,1,1,Inner Richmond,House,Entire home/apt,2,1,2.0,2.0,$80.00 ,30,365,0,0,0,274,52,2011-05-15,98.0,10.0,10.0,10.0,10.0,10.0,9.0,,0,1,1,0,0,3061.0,4+ years,0-2 weeks
69549,2010-11-30,within an hour,50-89%,0,42,42,1,Excelsior,House,Private room,2,1,1.0,1.0,$46.00 ,30,1125,0,0,5,280,39,2011-03-03,91.0,9.0,9.0,10.0,9.0,9.0,9.0,,0,14,0,14,0,3106.0,4+ years,6-12 months
69553,2010-11-30,within an hour,50-89%,0,42,42,1,Excelsior,House,Private room,2,1,1.0,1.0,$45.00 ,30,1125,0,0,19,294,26,2011-05-11,82.0,8.0,8.0,8.0,9.0,8.0,8.0,,0,14,0,14,0,3106.0,4+ years,6-12 months
69681,2010-05-18,within a few hours,100%,0,35,35,1,Seacliff,Apartment,Entire home/apt,4,2,3.0,3.0,$185.00 ,30,365,0,0,0,253,7,2011-10-11,93.0,9.0,8.0,9.0,9.0,9.0,8.0,,0,21,21,0,0,3302.0,4+ years,6-12 months
